------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.7
downloading device type, android
device, Pocket
device name, Pocket
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, surf-igna
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 202
time diff [logger-smartphone](sec), -1
lat, 37.108780
long, -8.935526
accuracy (m), 1.0
------------------------------,--------------------
time,temp
2025-01-02 17:14:00,16.9
2025-01-02 17:16:00,17.0
2025-01-02 17:18:00,16.9
2025-01-02 17:20:00,16.9
2025-01-02 17:22:00,16.9
2025-01-02 17:24:00,17.0
2025-01-02 17:26:00,16.9
2025-01-02 17:28:00,17.0
2025-01-02 17:30:00,16.9
2025-01-02 17:32:00,17.0
2025-01-02 17:34:00,17.0
2025-01-02 17:36:00,16.9
2025-01-02 17:38:00,16.9
2025-01-02 17:40:00,16.9
2025-01-02 17:42:00,16.9
2025-01-02 17:44:00,16.9
2025-01-02 17:46:00,16.8
2025-01-02 17:48:00,16.9
2025-01-02 17:50:00,16.9
2025-01-02 17:52:00,16.8
2025-01-02 17:54:00,16.8
2025-01-02 17:56:00,16.8
2025-01-02 17:58:00,16.9
2025-01-02 18:00:00,16.9
2025-01-02 18:02:00,16.9
2025-01-02 18:04:00,16.9
2025-01-02 18:06:00,15.6
2025-01-02 18:08:00,13.9
2025-01-02 18:10:00,13.1
2025-01-02 18:12:00,12.7
2025-01-02 18:14:00,12.4
2025-01-02 18:16:00,12.2
2025-01-02 18:18:00,12.1
2025-01-02 18:20:00,12.0
2025-01-02 18:22:00,12.0
2025-01-02 18:24:00,11.9
2025-01-02 18:26:00,11.9
2025-01-02 18:28:00,11.9
2025-01-02 18:30:00,11.8
2025-01-02 18:32:00,11.8
2025-01-02 18:34:00,11.9
2025-01-02 18:36:00,NA
